Theta;I
33.2600;72
33.2800;48
33.3000;68
33.3200;66
33.3400;68
33.3600;64
33.3800;56
33.4000;48
33.4200;54
33.4400;78
33.4600;50
33.4800;58
33.5000;68
33.5200;52
33.5400;60
33.5600;50
33.5800;60
33.6000;48
33.6200;54
33.6400;58
33.6600;54
33.6800;58
33.7000;68
33.7200;60
33.7400;64
33.7600;62
33.7800;62
33.8000;44
33.8200;74
33.8400;66
33.8600;62
33.8800;70
33.9000;56
33.9200;56
33.9400;46
33.9600;70
33.9800;90
34.0000;52
34.0200;80
34.0400;72
34.0600;74
34.0800;52
34.1000;58
34.1200;72
34.1400;58
34.1600;66
34.1800;70
34.2000;76
34.2200;58
34.2400;50
34.2600;68
34.2800;66
34.3000;68
34.3200;76
34.3400;62
34.3600;52
34.3800;56
34.4000;56
34.4200;56
34.4400;56
34.4600;72
34.4800;70
34.5000;70
34.5200;66
34.5400;80
34.5600;58
34.5800;56
34.6000;54
34.6200;74
34.6400;74
34.6600;54
34.6800;52
34.7000;66
34.7200;66
34.7400;60
34.7600;66
34.7800;78
34.8000;66
34.8200;62
34.8400;54
34.8600;78
34.8800;62
34.9000;62
34.9200;68
34.9400;70
34.9600;76
34.9800;50
35.0000;48
35.0200;56
35.0400;62
35.0600;72
35.0800;62
35.1000;62
35.1200;68
35.1400;70
35.1600;72
35.1800;70
35.2000;72
35.2200;64
35.2400;48
35.2600;50
35.2800;60
35.3000;58
35.3200;60
35.3400;72
35.3600;54
35.3800;60
35.4000;60
35.4200;60
35.4400;60
35.4600;56
35.4800;60
35.5000;66
35.5200;52
35.5400;74
35.5600;48
35.5800;70
35.6000;64
35.6200;66
35.6400;46
35.6600;66
35.6800;66
35.7000;62
35.7200;64
35.7400;68
35.7600;58
35.7800;50
35.8000;68
35.8200;56
35.8400;66
35.8600;66
35.8800;62
35.9000;60
35.9200;58
35.9400;62
35.9600;60
35.9800;54
36.0000;52
36.0200;58
36.0400;54
36.0600;52
36.0800;72
36.1000;56
36.1200;62
36.1400;50
36.1600;60
36.1800;56
36.2000;58
36.2200;48
36.2400;40
36.2600;50
36.2800;52
36.3000;54
36.3200;72
36.3400;58
36.3600;66
36.3800;58
36.4000;44
36.4200;54
36.4400;52
36.4600;54
36.4800;44
36.5000;58
36.5200;54
36.5400;52
36.5600;68
36.5800;58
36.6000;48
36.6200;56
36.6400;58
36.6600;36
36.6800;72
36.7000;56
36.7200;58
36.7400;44
36.7600;40
36.7800;54
36.8000;46
36.8200;58
36.8400;58
36.8600;52
36.8800;60
36.9000;68
36.9200;52
36.9400;68
36.9600;52
36.9800;48
37.0000;44
37.0200;40
37.0400;58
37.0600;58
37.0800;48
37.1000;60
37.1200;56
37.1400;50
37.1600;54
37.1800;60
37.2000;50
37.2200;46
37.2400;58
37.2600;70
37.2800;52
37.3000;50
37.3200;40
37.3400;54
37.3600;38
37.3800;50
37.4000;50
37.4200;52
37.4400;58
37.4600;46
37.4800;58
37.5000;50
37.5200;48
37.5400;50
37.5600;50
37.5800;50
37.6000;50
37.6200;38
37.6400;42
37.6600;42
37.6800;40
37.7000;46
37.7200;56
37.7400;46
37.7600;56
37.7800;50
37.8000;50
37.8200;48
37.8400;48
37.8600;66
37.8800;64
37.9000;54
37.9200;54
37.9400;66
37.9600;62
37.9800;60
38.0000;52
38.0200;54
38.0400;58
38.0600;64
38.0800;62
38.1000;56
38.1200;62
38.1400;48
38.1600;42
38.1800;56
38.2000;68
38.2200;42
38.2400;58
38.2600;54
38.2800;54
38.3000;56
38.3200;54
38.3400;50
38.3600;64
38.3800;44
38.4000;40
38.4200;52
38.4400;48
38.4600;56
38.4800;60
38.5000;62
38.5200;60
38.5400;56
38.5600;54
38.5800;52
38.6000;46
38.6200;46
38.6400;48
38.6600;48
38.6800;56
38.7000;44
38.7200;56
38.7400;54
38.7600;58
38.7800;58
38.8000;40
38.8200;54
38.8400;62
38.8600;46
38.8800;50
38.9000;52
38.9200;50
38.9400;60
38.9600;48
38.9800;48
39.0000;46
39.0200;48
39.0400;48
39.0600;42
39.0800;48
39.1000;50
39.1200;50
39.1400;58
39.1600;58
39.1800;40
39.2000;52
39.2200;54
39.2400;38
39.2600;48
39.2800;56
39.3000;46
39.3200;56
39.3400;48
39.3600;44
39.3800;44
39.4000;46
39.4200;50
39.4400;66
39.4600;62
39.4800;44
39.5000;50
39.5200;36
39.5400;52
39.5600;46
39.5800;44
39.6000;44
39.6200;48
39.6400;44
39.6600;56
39.6800;46
39.7000;50
39.7200;54
39.7400;52
39.7600;48
39.7800;52
39.8000;46
39.8200;72
39.8400;54
39.8600;42
39.8800;42
39.9000;64
39.9200;46
39.9400;64
39.9600;42
39.9800;40
40.0000;54
40.0200;60
40.0400;50
40.0600;50
40.0800;46
40.1000;54
40.1200;44
40.1400;70
40.1600;46
40.1800;62
40.2000;54
40.2200;54
40.2400;76
40.2600;68
40.2800;58
40.3000;42
40.3200;56
40.3400;50
40.3600;52
40.3800;52
40.4000;50
40.4200;62
40.4400;64
40.4600;58
40.4800;64
40.5000;48
40.5200;66
40.5400;58
40.5600;60
40.5800;60
40.6000;48
40.6200;62
40.6400;52
40.6600;64
40.6800;42
40.7000;64
40.7200;58
40.7400;46
40.7600;56
40.7800;60
40.8000;64
40.8200;66
40.8400;60
40.8600;56
40.8800;54
40.9000;60
40.9200;62
40.9400;58
40.9600;62
40.9800;60
41.0000;62
41.0200;52
41.0400;62
41.0600;58
41.0800;58
41.1000;60
41.1200;44
41.1400;50
41.1600;60
41.1800;64
41.2000;40
41.2200;58
41.2400;68
41.2600;56
41.2800;54
41.3000;54
41.3200;48
41.3400;62
41.3600;54
41.3800;50
41.4000;52
41.4200;70
41.4400;54
41.4600;72
41.4800;40
41.5000;58
41.5200;56
41.5400;68
41.5600;60
41.5800;54
41.6000;56
41.6200;64
41.6400;52
41.6600;58
41.6800;46
41.7000;36
41.7200;46
41.7400;54
41.7600;52
41.7800;62
